;Martin’s Stuff;front;;front;;;2016-10-02
maths-links;Martin’s Maths Links;maths;;;;maths;2016-09-17
mathjax-guide-1;Martin’s MathJax Guide - Introduction;jax;;jax;1;maths|mathjax;2016-09-17
mathjax-guide-2;Martin’s MathJax Guide - Inline math formulas and displayed equations;jax;;jax;2;maths|mathjax;2016-09-17
mathjax-guide-3;Martin’s MathJax Guide - Math symbols and math fonts;jax;;jax;3;maths|mathjax;2016-09-17
mathjax-guide-4;Martin’s MathJax Guide - Notations;jax;;jax;4;maths|mathjax;2016-09-17
mathjax-guide-5;Martin’s MathJax Guide - Fractions and related constructions;jax;;jax;5;maths|mathjax;2016-09-17
mathjax-guide-6;Martin’s MathJax Guide - Delimiters;jax;;jax;6;maths|mathjax;2016-09-17
mathjax-guide-7;Martin’s MathJax Guide - \text and \mod;jax;;jax;7;maths|mathjax;2016-09-17
mathjax-guide-8;Martin’s MathJax Guide - Integrals and sums;jax;;jax;8;maths|mathjax;2016-09-17
mathjax-guide-9;Martin’s MathJax Guide - Changing the size of elements in a formula;jax;;jax;9;maths|mathjax;2016-09-17
parasurf-intro;Martin’s Parametric Surfaces;parasurf;intro;parasurf;cone;maths|surface|parametric|cone;2016-09-25
parasurf-sphere;Martin’s Parametric Sphere;parasurf;sphere;parasurf;sphere;maths|surface|parametric|sphere;2016-09-25
parasurf-torus;Martin’s Parametric Torus;parasurf;torus;parasurf;torus;maths|surface|parametric|torus;2016-09-25
parasurf-elliptic-torus;Martin’s Parametric Elliptic Torus;parasurf;elliptic-torus;parasurf;elliptic-torus;maths|surface|parametric|torus|elliptic;2016-09-25
parasurf-limpet-torus;Martin’s Parametric Limpet Torus;parasurf;limpet-torus;parasurf;limpet-torus;maths|surface|parametric|torus|limpet;2016-09-25
parasurf-supertoroid;Martin’s Parametric Supertoroid;parasurf;supertoroid;parasurf;supertoroid;maths|surface|parametric|torus|supertoroid;2016-09-25
parasurf-mobius;Martin’s Parametric Möbius Strip;parasurf;mobius;parasurf;mobius;maths|surface|parametric|möbius;2016-09-25
parasurf-boys-1;Martin’s Parametric Boy’s Surface (1);parasurf;boys-1;parasurf;boys-1;maths|surface|parametric|boy’s;2016-09-25
tiling-gloss;Martin’s Tiling Glossary;tiling;gloss;;;maths|tiling;2016-09-28
mnm-08;Monday Night Martin - Claudia’s Birthday;mnm;;mnm;08;music|monday night|mnm;2016-09-17
mnm-09;Monday Night Martin - Minimalism and Modern Classical;mnm;;mnm;09;music|monday night|mnm;2016-09-17
mnm-11;Monday Night Martin - Geof’s Birthday;mnm;;mnm;11;music|monday night|mnm;2016-09-17
mnm-14;Monday Night Martin - ’70s Albums;mnm;;mnm;14;music|monday night|mnm;2016-09-17
mnm-15;Monday Night Martin - Astronomy Night;mnm;;mnm;15;music|monday night|mnm;2016-09-17
mnm-18;Monday Night Martin - 1969, the Shape of Things to Come;mnm;;mnm;18;music|monday night|mnm;2016-09-17
mnm-22;Monday Night Martin - 2009 Retrospective;mnm;;mnm;22;music|monday night|mnm;2016-09-17
mnm-23;Monday Night Martin - Travel Broadens the Mind;mnm;;mnm;23;music|monday night|mnm;2016-09-17
mnm-25;Monday Night Martin - Screen Gems;mnm;;mnm;25;music|monday night|mnm;2016-09-17
mnm-27;Monday Night Martin - Cloak & Dagger, Music for Secret Agents;mnm;;mnm;27;music|monday night|mnm;2016-09-17
mnm-29;Monday Night Martin - The Life Aquatic;mnm;;mnm;29;music|monday night|mnm;2016-09-17
mnm-31;Monday Night Martin - The Hazards of Love;mnm;;mnm;31;music|monday night|mnm;2016-09-17
mnm-33;Monday Night Martin - Genetic Drift;mnm;;mnm;33;music|monday night|mnm;2016-09-17
mnm-34;Monday Night Martin - What Becomes of the Brokenhearted;mnm;;mnm;34;music|monday night|mnm;2016-09-17
