lat;lon;status;closed;name;addr;town;county;postcode;prev;img;url;gsv
;;limbo;2015;Angel;1a Woodhatch Road, Woodhatch;Reigate;Surrey;RH2 7LJ;;https://whatpub.com/img/REI/321/angel-reigate/200/150;https://whatpub.com/pubs/REI/321/angel-reigate;
51.2332485334;-0.2287159874;open;;Skimmington Castle;Bonny's Road;Reigate Heath;Surrey;RH2 8RL;;https://whatpub.com/img/REI/347/skimmington-castle-reigate-heath/298/224/1;https://whatpub.com/pubs/REI/347/skimmington-castle-reigate-heath;
51.2105381887;-0.257662387;open;;Seven Stars;Bunce Common Road, Dawes Green;Leigh;Surrey;RH2 8NP;;https://whatpub.com/img/REI/232/seven-stars-leigh/298/224/1;https://whatpub.com/pubs/REI/232/seven-stars-leigh;
51.2082865344;-0.2498960508;open;;Plough;Church Road;Leigh;Surrey;RH2 8NJ;;https://whatpub.com/img/REI/231/plough-leigh/298/224/1;https://whatpub.com/pubs/REI/231/plough-leigh;
51.2018418269;-0.2129727629;open;;Three Horseshoes Inn;Ironsbottom;Sidlow Bridge;Surrey;RH2 8PT;;https://whatpub.com/img/REI/354/three-horseshoes-inn-sidlow-bridge/298/224/1;https://whatpub.com/pubs/REI/354/three-horseshoes-inn-sidlow-bridge;
;;;;;;;;;;;;
51.2330773047;-0.2868419276;open;;Royal Oak;Brockham Green ;Brockham;Surrey;RH3 7JS ;;https://whatpub.com/img/REI/33/royal-oak-brockham/298/224/1;https://whatpub.com/pubs/REI/33/royal-oak-brockham;
51.2329315166;-0.2856125811;food;;Inn on the Green;Brockham Green ;Brockham;Surrey;RH3 7JS ;Duke’s Head;https://whatpub.com/img/REI/32/inn-on-the-green-brockham/298/224/1;https://whatpub.com/pubs/REI/32/inn-on-the-green-brockham;
51.2400349427;-0.2836232759;open;;Arkle Manor;Reigate Road;Betchworth;Surrey;RH3 7HB ;Barley Mow ;https://whatpub.com/img/REI/17/arkle-manor-betchworth/298/224/1;https://whatpub.com/pubs/REI/17/arkle-manor-betchworth;
51.2336482461;-0.2661448744;open;;Dolphin Inn;The Street;Betchworth;Surrey;RH3 7DW;;https://whatpub.com/img/REI/18/dolphin-inn-betchworth/298/224/1;https://whatpub.com/pubs/REI/18/dolphin-inn-betchworth;
51.2374285429;-0.2643209723;open;;Hartsfield Manor;Sandy Lane;Betchworth;Surrey;RH3 7AA;;https://whatpub.com/img/REI/493/hartsfield-manor-betchworth/298/224/1;https://whatpub.com/pubs/REI/493/hartsfield-manor-betchworth;
51.2402295567;-0.2629731609;open;;Red Lion;Old Road;Betchworth;Surrey;RH3 7DS;;https://whatpub.com/img/REI/19/red-lion-betchworth/298/224/1;https://whatpub.com/pubs/REI/19/red-lion-betchworth;
51.2430589458;-0.2403326346;food;;Pheasant at Buckland;Reigate Road;Buckland;Surrey;RH3 7BG;Jolly Farmers ;https://whatpub.com/img/REI/34/pheasant-at-buckland-buckland/298/224/1;https://whatpub.com/pubs/REI/34/pheasant-at-buckland-buckland;
51.2208927027;-0.2822381312;gone;late 1990s;Spotted Cow;80 Middle Street;Strood Green;Surrey;RH3 7HU;;https://whatpub.com/img/REI/365/spotted-cow-strood-green/298/224/1;https://whatpub.com/pubs/REI/365/spotted-cow-strood-green;
;;;;;;;;;;;;
51.2359065707;-0.3382907253;limbo;;Pilgrim;Station Road ;Dorking;Surrey;RH4 1HF ;Station Inn;https://whatpub.com/img/REI/97/pilgrim-dorking/298/224/1;https://whatpub.com/pubs/REI/97/pilgrim-dorking;
51.2318232427;-0.3354686277;open;;King's Arms;45 West Street;Dorking;Surrey;RH4 1BU ;;https://whatpub.com/img/REI/91/kings-arms-dorking/200/150;https://whatpub.com/pubs/REI/91/kings-arms-dorking;
51.2316890538;-0.3361724853;open;;Old House at Home;24 West Street;Dorking;Surrey;RH4 1BY ;;https://whatpub.com/img/REI/96/old-house-dorking/200/150;https://whatpub.com/pubs/REI/96/old-house-dorking;
51.2318822856;-0.3367144271;open;;Star;36 West Street;Dorking;Surrey;RH4 1BU ;;https://whatpub.com/img/REI/103/star-inn-dorking/200/150;https://whatpub.com/pubs/REI/103/star-inn-dorking;
51.2316932292;-0.3341085358;gone;1979;Bell;57 West Street;Dorking;Surrey;RH4 1BS ;;http://www.closedpubs.co.uk/surrey/pics/dorking_bell.JPG;https://whatpub.com/pubs/REI/83/bell-dorking;
51.2324422954;-0.3303120851;open;;White Horse Hotel;74-77 High Street;Dorking;Surrey;RH4 1BE ;;https://whatpub.com/img/REI/107/white-horse-hotel-dorking/298/224/1;https://whatpub.com/pubs/REI/107/white-horse-hotel-dorking;
51.2316497283;-0.3328455644;bone;C18;King's Head;3-11 High Street;Dorking;Surrey;RH4 1AR ;Lower Chequers Inn ;https://whatpub.com/img/REI/92/courtyard-cafe-bar-dorking/298/224/1;https://whatpub.com/pubs/REI/92/courtyard-cafe-bar-dorking;
51.2331657058;-0.328902465;limbo;;Surrey Yeoman;220-222 High Street;Dorking;Surrey;RH4 1QR ;;https://whatpub.com/img/REI/104/surrey-yeoman-dorking/298/224/1000001;https://whatpub.com/pubs/REI/104/surrey-yeoman-dorking;
51.2398798198;-0.3248564753;open;;Lincoln Arms;Station Approach;Dorking;Surrey;RH4 1TF ;Star and Garter;https://whatpub.com/img/REI/93/lincoln-arms-hotel-dorking/298/224/1;https://whatpub.com/pubs/REI/93/lincoln-arms-hotel-dorking;
51.2474836562;-0.3239356968;bone;1876;Beehive;London Road;Dorking;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/dorking_beehive2.jpg;;
51.2339394975;-0.3320269636;dead;2008;Malthouse;29 Mill Lane;Dorking;Surrey;RH4 1DX ;Evening Star;http://www.closedpubs.co.uk/surrey/pics/dorking_malthouse.JPG|https://whatpub.com/img/REI/94/malthouse-dorking/298/224/1;https://whatpub.com/pubs/REI/94/malthouse-dorking;
51.2362670345;-0.3180691939;gone;1988;Punchbowl;Reigate Road;Dorking;Surrey;RH4 1QB ;;http://www.closedpubs.co.uk/surrey/pics/dorking_punchbowl.jpg;https://whatpub.com/pubs/REI/100/punchbowl-dorking;
51.2381772655;-0.3123322418;food;;Watermill Inn;Reigate Road;Dorking;Surrey;RH4 1NN ;;https://whatpub.com/img/REI/105/watermill-inn-dorking/298/224/1000001;https://whatpub.com/pubs/REI/105/watermill-inn-dorking;
51.2231749451;-0.3324224403;gone;2012;Bush;10 Horsham Road;Dorking;Surrey;RH4 2JL ;;http://www.closedpubs.co.uk/surrey/pics/dorking_bush.jpg|https://whatpub.com/img/REI/85/bush-dorking/298/224/1;https://whatpub.com/pubs/REI/85/bush-dorking;
51.2179772389;-0.329072332;gone;2004;Windmill;Horsham Road;Dorking;Surrey;RH4 2LL ;;http://www.closedpubs.co.uk/surrey/pics/dorking_windmill.jpg|https://whatpub.com/img/REI/109/windmill-dorking/298/224/1;https://whatpub.com/pubs/REI/109/windmill-dorking;
51.2312393693;-0.3332322845;open;;Bull's Head;11 South Street;Dorking;Surrey;RH4 2DY ;;https://whatpub.com/img/REI/461/bulls-head-dorking/200/150;https://whatpub.com/pubs/REI/461/bulls-head-dorking;
